draft position,MLS team,Player,Pos.,College,Conference,Academy team,Other team,Signed, Trade
1,Charlotte FC, Ben Bender,MF,Maryland,Big Ten,Baltimore Armour,FC Baltimore Christos, Charlotte FC, No
2,FC Cincinnati, Roman Celentano,GK,Indiana,Big Ten,Sockers FC,—, FC Cincinnati, No
3,FC Dallas, Isaiah Parker,FW,Saint Louis,A-10,FC United,Chicago FC United, FC Dallas, Yes
4,Houston Dynamo FC, Thorleifur Úlfarsson,FW,Duke,ACC,Breiðablik,—, Houston Dynamo FC, No
5,Austin FC, Kipp Keller,DF,Saint Louis,A-10,Saint Louis FC,St. Louis Scott Gallagher, Austin FC, No
6,FC Dallas, Lucas Bartlett,DF,St. John's,Big East,Sporting Blue Valley,Kaw Valley FC, FC Dallas, No
7,New York Red Bulls, Matt Nocita,DF,Naval Academy,Patriot,Real So Cal,—, New York Red Bulls, Yes
8,San Jose Earthquakes, Ousseni Bouda,FW,Stanford,Pac-12,Black Rock FC,Black Rock FC, San Jose Earthquakes, No
9,Inter Miami CF, Ryan Sailor,DF,Washington,Pac-12,Real Colorado,Colorado Rapids U-23, Inter Miami CF, No
10,Nashville SC, Ahmed Longmire,DF,UCLA,Pac-12,Las Vegas Sports Academy,Seattle Sounders FC U-23, Nashville SC, Yes
11,Chicago Fire FC, Kendall Burks,DF,Washington,Pac-12,Washington Premier,Seattle Sounders FC U-23, Chicago Fire FC, Yes
12,Columbus Crew, Patrick Schulte,GK,Saint Louis,A-10,Saint Louis FC,St. Louis Scott Gallagher, Columbus Crew, No
13,San Jose Earthquakes, Oskar Ågren,DF,Clemson,ACC,LB07,—, San Jose Earthquakes, Yes
14,FC Cincinnati, Ian Murphy,DF,Duke,ACC,FC Golden State,—, FC Cincinnati, Yes
15,CF Montréal, Jojea Kwizera,FW,Utah Valley,WAC,Forza West FC,Ogden City SC, CF Montréal, No
16,Vancouver Whitecaps FC, Simon Becher,FW,Saint Louis,A-10,Oakwood SC,Ocean City Nor'easters, Whitecaps FC 2, No
17,Minnesota United FC, Tani Oluwaseyi,FW,St. John's,Big East,GPS Academy,Manhattan SC, Minnesota United FC, No
18,Orlando City SC, Jack Lynn,FW,Notre Dame,ACC,Saint Louis FC,St. Louis Scott Gallagher, Orlando City SC, No
19,Atlanta United FC, Erik Centeno,FW,Pacific,Big West,Sacramento Republic,—, Atlanta United FC, No
20,New York Red Bulls, O'Vonte Mullings,FW,Florida Gulf Coast,ASUN,FC Durham,Seattle Sounders FC U-23, New York Red Bulls II, Yes
21,LA Galaxy, Farai Mutatu,FW,Michigan State,Big Ten,Crew Academy Wolves,Chicago FC United,-, Yes
22,Sporting Kansas City, Esai Easley,DF,Grand Canyon,WAC,De Anza Force,Portland Timbers U23, Sporting Kansas City II, No
